weak,strong,rule,failures,ler,escalation,silent,unconverged,catch,harm,worse,better,p,cost_us,breakeven,saving,ler_low,ler_high
BP-ps-30,LSD-0,flag>=1,7,0.00035,0.95345,0,0,0,0,0,0,1.0,545406.4183603172,0.1886729034787967,0.5079455954852082,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-0,flag>=2,7,0.00035,0.88335,0,0,0,0,0,0,1.0,675664.3403646874,0.15074375095844186,0.39042958891182855,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-0,flag>=3,7,0.00035,0.82735,0,0,0,0,0,0,1.0,842192.9062100243,0.11152122330609017,0.24019095668583967,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-0,flag>=4,7,0.00035,0.79865,0,0,0,0,0,0,1.0,973037.6317145897,0.07373271889400893,0.122145548115828,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-0,rounds>=2,7,0.00035,0.8729,0,0,0,0,0,0,1.0,707201.9780408592,0.14629475437135717,0.361976983654257,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-0,rounds>=3,7,0.00035,0.81355,0,0,0,0,0,0,1.0,914507.2391060692,0.10416666666666655,0.17495045930038244,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-0,flag-only,651,0.03255,0.89255,0,644,0,0,644,0,2.739761686260504e-194,514751.68514527817,0.12044143185255721,0.5356016625755682,0.030178959324477065,0.03510058178126735
BP-ps-30,LSD-CS4,primary_fail,7,0.00035,0.78505,0,0,0,0,0,0,1.0,1147538.9529697166,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,flag>=1,7,0.00035,0.95345,0,0,0,0,0,0,1.0,590261.8108462059,0.1886729034787967,0.48562808319607187,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,flag>=2,7,0.00035,0.88335,0,0,0,0,0,0,1.0,718448.9621378075,0.15074375095844186,0.3739219394003723,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,flag>=3,7,0.00035,0.82735,0,0,0,0,0,0,1.0,882887.9656686669,0.11152122330609017,0.23062483989424443,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,flag>=4,7,0.00035,0.79865,0,0,0,0,0,0,1.0,1012677.092245742,0.07373271889400893,0.11752268659374532,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,rounds>=2,7,0.00035,0.8729,0,0,0,0,0,0,1.0,749450.4405033836,0.14629475437135717,0.346906317590457,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,rounds>=3,7,0.00035,0.81355,0,0,0,0,0,0,1.0,954628.2865224754,0.10416666666666655,0.1681081639520886,0.00016955101329104707,0.0007223576688892798
BP-ps-30,LSD-CS4,flag-only,651,0.03255,0.89255,0,644,0,0,644,0,2.739761686260504e-194,556261.9412990379,0.12044143185255721,0.5152565933735954,0.030178959324477065,0.03510058178126735
